title,description,Course curriculum,About the Instructor,combined_text
Pandas for Data Analysis in Python,"Pandas is one of the most popular Python libraries in data science. In fact, Pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.
According to a recent survey by StackOverflow, Pandas is the 4th most used library/framework in the world. That is quite an achievement!
Pandas is the first library we import when we fire up our Jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). It is a super flexible tool that enables us to perform data analysis and data manipulation on Pandas dataframes in double-quick time.","Introduction to the Course
                    
                    
                      



Pandas Installation
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Pandas for Data Analysis in Python Pandas is one of the most popular Python libraries in data science. In fact, Pandas is among those elite libraries that draw instant recognition from programmers of all backgrounds, from developers to data scientists.
According to a recent survey by StackOverflow, Pandas is the 4th most used library/framework in the world. That is quite an achievement!
Pandas is the first library we import when we fire up our Jupyter notebooks (‘import pandas as pd’ is indelibly etched in our minds!). It is a super flexible tool that enables us to perform data analysis and data manipulation on Pandas dataframes in double-quick time. Introduction to the Course
                    
                    
                      



Pandas Installation
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Support Vector Machine (SVM) in Python and R,"Want to learn the popular machine learning algorithm - Support Vector Machines (SVM)? Support Vector Machines can be used to build both Regression and Classification Machine Learning models.
This free course will not only teach you basics of Support Vector Machines (SVM) and how it works, it will also tell you how to implement it in Python and R.
This course on SVM would help you understand hyperplanes and Kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal.","What are Support Vector Machines?
                    
                    
                      



Why do we use SVM and how is it better?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Support Vector Machine (SVM) in Python and R Want to learn the popular machine learning algorithm - Support Vector Machines (SVM)? Support Vector Machines can be used to build both Regression and Classification Machine Learning models.
This free course will not only teach you basics of Support Vector Machines (SVM) and how it works, it will also tell you how to implement it in Python and R.
This course on SVM would help you understand hyperplanes and Kernel tricks to leave you with one of the most popular machine learning algorithms at your disposal. What are Support Vector Machines?
                    
                    
                      



Why do we use SVM and how is it better?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Evaluation Metrics for Machine Learning Models,"Evaluation metrics form the backbone of improving your machine learning model. Without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.
 
Wondering where evaluation metrics fit in? Here’s how the typical machine learning model building process works:

We build a machine learning model (both regression and classification included)
Get feedback from the evaluation metric(s)
Make improvements to the model
Use the evaluation metric to gauge the model’s performance, and
Continue until you achieve a desirable accuracy

 
Evaluation metrics, essentially, explain the performance of a machine learning model. An important aspect of evaluation metrics is their capability to discriminate among model results.
 
If you’ve ever wondered how concepts like AUC-ROC, F1 Score, Gini Index, Root Mean Square Error (RMSE), and Confusion Matrix work, well - you’ve come to the right course!","Types of Machine Learning
                    
                    
                      



Why do we need Evaluation Metrics?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Evaluation Metrics for Machine Learning Models Evaluation metrics form the backbone of improving your machine learning model. Without these evaluation metrics, we would be lost in a sea of machine learning model scores - unable to understand which model is performing well.
 
Wondering where evaluation metrics fit in? Here’s how the typical machine learning model building process works:

We build a machine learning model (both regression and classification included)
Get feedback from the evaluation metric(s)
Make improvements to the model
Use the evaluation metric to gauge the model’s performance, and
Continue until you achieve a desirable accuracy

 
Evaluation metrics, essentially, explain the performance of a machine learning model. An important aspect of evaluation metrics is their capability to discriminate among model results.
 
If you’ve ever wondered how concepts like AUC-ROC, F1 Score, Gini Index, Root Mean Square Error (RMSE), and Confusion Matrix work, well - you’ve come to the right course! Types of Machine Learning
                    
                    
                      



Why do we need Evaluation Metrics?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Fundamentals of Regression Analysis,"Linear regression and logistic regression are typically the first algorithms we learn in data science. These are two key concepts not just in machine learning, but in statistics as well.
 
Due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! Or at least linear regression and logistic regression are the most important among all forms of regression analysis.
 
The truth, as always, lies somewhere in between. There are multiple types of regression apart from linear regression:

Ridge regression
Lasso regression
Polynomial regression
Stepwise regression, among others.

 
Linear regression is just one part of the regression analysis umbrella. Each regression form has its own importance and a specific condition where they are best suited to apply.
 
Regression analysis marks the first step in predictive modeling. The different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice.",Welcome!,No instructor available,"Fundamentals of Regression Analysis Linear regression and logistic regression are typically the first algorithms we learn in data science. These are two key concepts not just in machine learning, but in statistics as well.
 
Due to their popularity, a lot of data science aspirants even end up thinking that they are the only forms of regression! Or at least linear regression and logistic regression are the most important among all forms of regression analysis.
 
The truth, as always, lies somewhere in between. There are multiple types of regression apart from linear regression:

Ridge regression
Lasso regression
Polynomial regression
Stepwise regression, among others.

 
Linear regression is just one part of the regression analysis umbrella. Each regression form has its own importance and a specific condition where they are best suited to apply.
 
Regression analysis marks the first step in predictive modeling. The different types of regression techniques are widely popular because they’re easy to understand and implement using a programming language of your choice. Welcome! No instructor available"
Getting Started with scikit-learn (sklearn) for Machine Learning,"Scikit-learn, or sklearn for short, is the first Python library we turn to when building machine learning models. Sklearn is unanimously the favorite Python library among data scientists. As a newcomer to machine learning, you should be comfortable with sklearn and how to build ML models, including:

Linear Regression using sklearn
Logistic Regression using sklearn, and so on.

 There’s no question - scikit-learn provides handy tools with easy-to-read syntax. Among the pantheon of popular Python libraries, scikit-learn (sklearn) ranks in the top echelon along with Pandas and NumPy.
We love the clean, uniform code and functions that scikit-learn provides. The excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn.
In short, sklearn is a must-know Python library for machine learning. Whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library.",Welcome to this course,No instructor available,"Getting Started with scikit-learn (sklearn) for Machine Learning Scikit-learn, or sklearn for short, is the first Python library we turn to when building machine learning models. Sklearn is unanimously the favorite Python library among data scientists. As a newcomer to machine learning, you should be comfortable with sklearn and how to build ML models, including:

Linear Regression using sklearn
Logistic Regression using sklearn, and so on.

 There’s no question - scikit-learn provides handy tools with easy-to-read syntax. Among the pantheon of popular Python libraries, scikit-learn (sklearn) ranks in the top echelon along with Pandas and NumPy.
We love the clean, uniform code and functions that scikit-learn provides. The excellent documentation is the icing on the cake as it makes a lot of beginners self-sufficient with building machine learning models using sklearn.
In short, sklearn is a must-know Python library for machine learning. Whether you want to build linear regression or logistic regression models, decision tree or a random forest, sklearn is your go-to library. Welcome to this course No instructor available"
Convolutional Neural Networks (CNN) from Scratch,"Convolutional Neural Networks, or CNN as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. CNNs have even been extended to the field of video analysis!
If you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. Deep learning enthusiasts and experts with CNN knowledge are being widely sourced in the industry.
It’s your time to use this CNN skillset and shine!","What is a Neural Network?
                    
                    
                      



Types of Neural Networks
                    
                    
                      



Prerequisites
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Convolutional Neural Networks (CNN) from Scratch Convolutional Neural Networks, or CNN as they’re popularly called, are the go-to deep learning architecture for computer vision tasks, such as object detection, image segmentation, facial recognition, among others. CNNs have even been extended to the field of video analysis!
If you are picking one deep learning architecture to learn and are not sure where to start, you should go for convolutional neural networks. Deep learning enthusiasts and experts with CNN knowledge are being widely sourced in the industry.
It’s your time to use this CNN skillset and shine! What is a Neural Network?
                    
                    
                      



Types of Neural Networks
                    
                    
                      



Prerequisites
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Dimensionality Reduction for Machine Learning,"Have you worked on a dataset with more than a thousand features? How about 40,000 features? We are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.
This is where the power of dimensionality reduction techniques comes to the fore. Dimensionality reduction is actually one of the most crucial aspects in machine learning projects.
You can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. It’s a really powerful way to deal with huge datasets, as you’ll see in this course!
Every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as Principal Component Analysis (PCA), Factor Analysis, t-SNE, High Correlation Filter, Missing Value Ratio, among others.
So in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. We will also cover 12 dimensionality reduction techniques! This course is as comprehensive an introduction as you can get!","Introduction
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Dimensionality Reduction for Machine Learning Have you worked on a dataset with more than a thousand features? How about 40,000 features? We are generating data at an unprecedented pace right now and working with massive datasets in machine learning projects is becoming mainstream.
This is where the power of dimensionality reduction techniques comes to the fore. Dimensionality reduction is actually one of the most crucial aspects in machine learning projects.
You can use dimensionality reduction techniques to reduce the number of features in your dataset without having to lose much information and keep (or improve) the model’s performance. It’s a really powerful way to deal with huge datasets, as you’ll see in this course!
Every data scientist, aspiring established, should be aware of the different dimensionality reduction techniques, such as Principal Component Analysis (PCA), Factor Analysis, t-SNE, High Correlation Filter, Missing Value Ratio, among others.
So in this beginner-friendly course, you will learn the basics of dimensionality reduction and why you should know dimensionality reduction in machine learning. We will also cover 12 dimensionality reduction techniques! This course is as comprehensive an introduction as you can get! Introduction
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
K-Nearest Neighbors (KNN) Algorithm in Python and R,"K-Nearest Neighbor (KNN) is one of the most popular machine learning algorithms. As a newcomer or beginner in machine learning, you’ll find KNN to be among the easiest algorithms to pick up.
And despite its simplicity, KNN has proven to be incredibly effective at certain tasks in machine learning.
 
The KNN algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). That’s a key reason why it’s widely used in the industry and why you should know how the algorithm works.",Welcome to the Course,No instructor available,"K-Nearest Neighbors (KNN) Algorithm in Python and R K-Nearest Neighbor (KNN) is one of the most popular machine learning algorithms. As a newcomer or beginner in machine learning, you’ll find KNN to be among the easiest algorithms to pick up.
And despite its simplicity, KNN has proven to be incredibly effective at certain tasks in machine learning.
 
The KNN algorithm is simple to understand, easy to explain and perfect to demonstrate to a non-technical audience (that’s why stakeholders love it!). That’s a key reason why it’s widely used in the industry and why you should know how the algorithm works. Welcome to the Course No instructor available"
Ensemble Learning and Ensemble Learning Techniques,"Ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models. You must have used or come across several of these ensemble learning techniques in your machine learning journey:- Bagging- Boosting- Stacking- Blending, etc. These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be!","Intuition behind Ensemble Learning
                    
                    
                      



What is Ensemble Learning?
                    
                    
                      



What models will be covered in the course?
                    
                    
                      



Quiz: Introduction to Ensemble Learning
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Ensemble Learning and Ensemble Learning Techniques Ensemble learning is a powerful machine learning algorithm that is used across industries by data science experts. The beauty of ensemble learning techniques is that they combine the predictions of multiple machine learning models. You must have used or come across several of these ensemble learning techniques in your machine learning journey:- Bagging- Boosting- Stacking- Blending, etc. These ensemble learning techniques include popular machine learning algorithms such as XGBoost, Gradient Boosting, among others. You must be getting a good idea of how vast and useful ensemble learning can be! Intuition behind Ensemble Learning
                    
                    
                      



What is Ensemble Learning?
                    
                    
                      



What models will be covered in the course?
                    
                    
                      



Quiz: Introduction to Ensemble Learning
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Linear Programming for Data Science Professionals,"Optimization is the way of life. We all have finite resources and time and we want to make the most of them. From using your time productively to solving supply chain problems for your company – everything uses optimization.
And that’s where learning linear programming will make you a better data science professional.
We are solving optimization problems everyday - without realizing it. Think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. On the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. Millions of SKUs with different popularity in different regions to be delivered in defined time and resources.
And linear programming helps us solve these optimization problems with ease and efficiency. As a data science professional, you are bound to come across these optimization problems that you will solve using linear programming.
 Simply put, you should know what linear programming is, and the different methods to solve linear programming problems.","How to Use the Mini-Course Template
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Linear Programming for Data Science Professionals Optimization is the way of life. We all have finite resources and time and we want to make the most of them. From using your time productively to solving supply chain problems for your company – everything uses optimization.
And that’s where learning linear programming will make you a better data science professional.
We are solving optimization problems everyday - without realizing it. Think of how you distributed the chocolate among your peers or siblings - that’s your way of optimizing the situation. On the other hand devising inventory and warehousing strategy for an e-tailer can be very complex. Millions of SKUs with different popularity in different regions to be delivered in defined time and resources.
And linear programming helps us solve these optimization problems with ease and efficiency. As a data science professional, you are bound to come across these optimization problems that you will solve using linear programming.
 Simply put, you should know what linear programming is, and the different methods to solve linear programming problems. How to Use the Mini-Course Template
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Naive Bayes from Scratch,"Naive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.
The beauty of Naive Bayes lies in it’s incredible speed. You’ll soon see how fast the Naive Bayes algorithm works as compared to other classification algorithms. It works on the Bayes theorem of probability to predict the class of unknown datasets. You’ll learn all about this inside the course!
So whether you’re trying to solve a classic HR analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the Naive Bayes algorithm will get you on your way.","Key Terms and Definitions
                    
                    
                      



Introduction to Probability
                    
                    
                      



Quiz: Introduction to probability
                    
                    
                      



Calculating Probabilities of events
                    
                    
                      



Quiz: Calculating Probabilities of events
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Naive Bayes from Scratch Naive Bayes ranks in the top echelons of the machine learning algorithms pantheon. It is a popular and widely used machine learning algorithm and is often the go-to technique when dealing with classification problems.
The beauty of Naive Bayes lies in it’s incredible speed. You’ll soon see how fast the Naive Bayes algorithm works as compared to other classification algorithms. It works on the Bayes theorem of probability to predict the class of unknown datasets. You’ll learn all about this inside the course!
So whether you’re trying to solve a classic HR analytics problem like predicting who gets promoted, or you’re aiming to predict loan default - the Naive Bayes algorithm will get you on your way. Key Terms and Definitions
                    
                    
                      



Introduction to Probability
                    
                    
                      



Quiz: Introduction to probability
                    
                    
                      



Calculating Probabilities of events
                    
                    
                      



Quiz: Calculating Probabilities of events
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Learn Swift for Data Science,"he Swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. Swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.
Swift is a more efficient, stable and secure programming language as compared to Python. In fact, Swift is also a good language to build for mobile. In fact, it’s the official language for developing iOS applications for the iPhone!
The cherry on the cake for Swift? It has the support of the likes of Google, Apple, and FastAI behind it!
“I always hope that when I start looking at a new language, there will be some mind-opening new ideas to find, and Swift definitely doesn’t disappoint. Swift tries to be expressive, flexible, concise, safe, easy to use, and fast. Most languages compromise significantly in at least one of these areas.” – Jeremy Howard
And when Jeremy Howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen.
In this free course on Swift for Data Science, we will learn about Swift as a programming language and how it fits into the data science space. If you’re a Python user, you’ll notice the subtle differences and the incredible similarities between the two. We showcase Swift code as well in the course so get started!","Getting Started
                    
                    
                      



Why Swift?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Learn Swift for Data Science he Swift programming language is quickly becoming the language of choice for a lot of data science experts and professionals. Swift’s flexibility, ease of use, excellent documentation, and quick execution speed are key reasons behind the language’s recent prominence in the data science space.
Swift is a more efficient, stable and secure programming language as compared to Python. In fact, Swift is also a good language to build for mobile. In fact, it’s the official language for developing iOS applications for the iPhone!
The cherry on the cake for Swift? It has the support of the likes of Google, Apple, and FastAI behind it!
“I always hope that when I start looking at a new language, there will be some mind-opening new ideas to find, and Swift definitely doesn’t disappoint. Swift tries to be expressive, flexible, concise, safe, easy to use, and fast. Most languages compromise significantly in at least one of these areas.” – Jeremy Howard
And when Jeremy Howard endorses a language and starts using it for his daily data science work, you need to drop everything and listen.
In this free course on Swift for Data Science, we will learn about Swift as a programming language and how it fits into the data science space. If you’re a Python user, you’ll notice the subtle differences and the incredible similarities between the two. We showcase Swift code as well in the course so get started! Getting Started
                    
                    
                      



Why Swift?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introduction to Web Scraping using Python,"The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.
That’s a key reason why data scientists are expected to be familiar with web scraping.
We have found web scraping to be a very helpful technique for gathering data from multiple websites. Some websites these days also provide APIs for many different types of data you might want to use, such as Tweets or LinkedIn posts.
But there might be occasions when you need to collect data from a website that does not provide a specific API. This is where having the ability to perform web scraping comes in handy. As a data scientist, you can code a simple Python script and extract the data you’re looking for.
So knowing how to perform web scraping using Python will help you go a long way towards becoming a resourceful data scientist. Are you ready to take the next step and dive in?
A note of caution here – web scraping is subject to a lot of guidelines and rules. Not every website allows the user to scrape content so there are certain legal restrictions at play. Always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.
In this course, we will dive into the basics of web scraping using Python. We will understand what web scraping is, the different Python libraries for performing web scraping, and finally we’ll implement web scraping using Python in a real-world project. There’s a lot to unpack here so enroll today and start learning!","What is Web Scraping?
                    
                    
                      



Caution
                    
                    
                      



Popular Libraries for Web Scraping
                    
                    
                      



Components of Web Scraping
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to Web Scraping using Python The need and importance of extracting data from the web is becoming increasingly loud and clear. There is an unprecedented volume of data on the internet right now - and data science projects often need this data to build predictive models.
That’s a key reason why data scientists are expected to be familiar with web scraping.
We have found web scraping to be a very helpful technique for gathering data from multiple websites. Some websites these days also provide APIs for many different types of data you might want to use, such as Tweets or LinkedIn posts.
But there might be occasions when you need to collect data from a website that does not provide a specific API. This is where having the ability to perform web scraping comes in handy. As a data scientist, you can code a simple Python script and extract the data you’re looking for.
So knowing how to perform web scraping using Python will help you go a long way towards becoming a resourceful data scientist. Are you ready to take the next step and dive in?
A note of caution here – web scraping is subject to a lot of guidelines and rules. Not every website allows the user to scrape content so there are certain legal restrictions at play. Always ensure you read the website’s terms and conditions on web scraping before you attempt to do it.
In this course, we will dive into the basics of web scraping using Python. We will understand what web scraping is, the different Python libraries for performing web scraping, and finally we’ll implement web scraping using Python in a real-world project. There’s a lot to unpack here so enroll today and start learning! What is Web Scraping?
                    
                    
                      



Caution
                    
                    
                      



Popular Libraries for Web Scraping
                    
                    
                      



Components of Web Scraping
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Tableau for Beginners,"Tableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.
Tableau has been recognized as a Leader in the Gartner Magic Quadrant for Analytics and Business Intelligence Platforms for 8 straight years. Here’s Gartner’s most recent ranking in 2020:


In this Tableau for Beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. You’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in Tableau!
 
Note: If you’re looking to build and master dashboards and storyboards in Tableau, make sure you check out the popular ‘Mastering Tableau from Scratch: Become a Data Visualization Rockstar’ course!","Welcome to the Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Tableau for Beginners Tableau is the gold standard in business intelligence, analytics and data visualization tools. Tableau Desktop (and now Tableau Public) have transformed the way we interact with visualizations and tell data stories to our clients, stakeholders, and to non-technical audiences around the world.
Tableau has been recognized as a Leader in the Gartner Magic Quadrant for Analytics and Business Intelligence Platforms for 8 straight years. Here’s Gartner’s most recent ranking in 2020:


In this Tableau for Beginners course, you will learn everything you need to get started with this wonderful visualization and business intelligence tool. You’ll be able to build charts like bar charts, line charts (for working with time series data), pie charts, and even get the hang of geospatial analysis using map visualizations in Tableau!
 
Note: If you’re looking to build and master dashboards and storyboards in Tableau, make sure you check out the popular ‘Mastering Tableau from Scratch: Become a Data Visualization Rockstar’ course! Welcome to the Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Getting Started with Neural Networks,"Introduction to Neural Networks
What is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.

Learn how neural networks work in deep learning
Do you want to acquire a super power? How about learning neural networks? Neural networks are at the heart of the deep learning revolution that’s happening around us right now.
Neural networks are the present and the future. The different neural network architectures like convolutional neural networks (CNN), recurrent neural networks (RNN), and others have altered the deep learning landscape.
But as a beginner in this field, you’ll have a ton of questions:

What is a neural network?
Why do we need to learn neural networks?
How popular are neural networks?
What are the advantages of neural networks?
What kind of challenges you could face when applying neural networks?
What exactly should you learn about neural networks?
What are the core concepts that make up neural networks?
What are the different types of neural networks in deep learning?
Do you need to know programming to build a neural network?
Which programming language is best for building neural networks? Python or R?
What are the different applications of neural networks?
What kind of problems or projects can you solve using neural networks?


From classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. Thanks to the idea of neural networks like CNN and RNN, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis!","What is Deep Learning?
                    
                    
                      



Difference b/w Deep Learning and Machine Learning
                    
                    
                      



Why Deep Learning is so popular?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Getting Started with Neural Networks Introduction to Neural Networks
What is a neural network? How does it work? What does a neural network do? Learn neural networks for free in this course and get your neural network questions answered, including applications of neural networks in deep learning.

Learn how neural networks work in deep learning
Do you want to acquire a super power? How about learning neural networks? Neural networks are at the heart of the deep learning revolution that’s happening around us right now.
Neural networks are the present and the future. The different neural network architectures like convolutional neural networks (CNN), recurrent neural networks (RNN), and others have altered the deep learning landscape.
But as a beginner in this field, you’ll have a ton of questions:

What is a neural network?
Why do we need to learn neural networks?
How popular are neural networks?
What are the advantages of neural networks?
What kind of challenges you could face when applying neural networks?
What exactly should you learn about neural networks?
What are the core concepts that make up neural networks?
What are the different types of neural networks in deep learning?
Do you need to know programming to build a neural network?
Which programming language is best for building neural networks? Python or R?
What are the different applications of neural networks?
What kind of problems or projects can you solve using neural networks?


From classifying images and translating languages to building a self-driving car, neural networks are powering the world around us. Thanks to the idea of neural networks like CNN and RNN, deep learning has penetrated into multiple and diverse industries, and it continues to break new ground on an almost weekly basis! What is Deep Learning?
                    
                    
                      



Difference b/w Deep Learning and Machine Learning
                    
                    
                      



Why Deep Learning is so popular?
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Introduction to AI & ML,"Analytics Vidhya’s ‘Introduction to AI and ML’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.
Artificial Intelligence and Machine Learning have become the centerpiece of strategic decision making for organizations. They are disrupting the way industries and roles function - from sales and marketing to finance and HR, companies are betting big on AI and ML to give them a competitive edge.
And this, of course, directly translates to their hiring. Thousands of vacancies are open as organizations scour the world for AI and ML talent. There hasn’t been a better time to get into this field!","What is AI&ML?
                    
                    
                      



Types of ML
                    
                    
                      



When to Apply AI&ML
                    
                    
                      



Recent AI Uprising
                    
                    
                      



How the world is Changing?
                    
                    
                      



Building Blocks of AI and ML
                    
                    
                      



Knowing Each Other
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Introduction to AI & ML Analytics Vidhya’s ‘Introduction to AI and ML’ course, curated and delivered by experienced instructors with decades of industry experience between them, will help you understand the answers to these pressing questions.
Artificial Intelligence and Machine Learning have become the centerpiece of strategic decision making for organizations. They are disrupting the way industries and roles function - from sales and marketing to finance and HR, companies are betting big on AI and ML to give them a competitive edge.
And this, of course, directly translates to their hiring. Thousands of vacancies are open as organizations scour the world for AI and ML talent. There hasn’t been a better time to get into this field! What is AI&ML?
                    
                    
                      



Types of ML
                    
                    
                      



When to Apply AI&ML
                    
                    
                      



Recent AI Uprising
                    
                    
                      



How the world is Changing?
                    
                    
                      



Building Blocks of AI and ML
                    
                    
                      



Knowing Each Other
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Winning Data Science Hackathons - Learn from Elite Data Scientists,"There is no substitute for experience. And that holds true in Data Science competitions as well. These cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.
This course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. They have already gone through the entire learning process and they showcase their work and thought process in these talks. 
This course features top data science hackers and experts, including Sudalai Rajkumar (SRK), Dipanjan Sarkar, Rohan Rao, Kiran R and many more!
From effective feature engineering to choosing the right validation strategy, there is a LOT to learn from this course so get started today!","About the Winning Data Science Hackathon course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Winning Data Science Hackathons - Learn from Elite Data Scientists There is no substitute for experience. And that holds true in Data Science competitions as well. These cut-throat hackathons require a lot of trial-and-error, effort, and dedication to reach the ranks of the elite.
This course is an amalgamation of various talks by top data scientists and machine learning hackers, experts, practitioners, and leaders who have participated and won dozens of hackathons. They have already gone through the entire learning process and they showcase their work and thought process in these talks. 
This course features top data science hackers and experts, including Sudalai Rajkumar (SRK), Dipanjan Sarkar, Rohan Rao, Kiran R and many more!
From effective feature engineering to choosing the right validation strategy, there is a LOT to learn from this course so get started today! About the Winning Data Science Hackathon course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
Hypothesis Testing for Data Science and Analytics,"Statistics is the study of the collection, analysis, interpretation, presentation, and organisation of data. For all the data science and machine learning enthusiasts it is paramount to be well versed with various statistical concepts such as Hypothesis testing
Every day we find ourselves testing new ideas, finding the fastest route to the office, the quickest way to finish our work, or simply finding a better way to do something we love. The critical question, then, is whether our idea is significantly better than what we tried previously.
These ideas that we come up with on such a regular basis – that’s essentially what a hypothesis is. And testing these ideas to figure out which one works and which one is best left behind, is called hypothesis testing.","Introduction to Hypothesis Testing Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored)",No instructor available,"Hypothesis Testing for Data Science and Analytics Statistics is the study of the collection, analysis, interpretation, presentation, and organisation of data. For all the data science and machine learning enthusiasts it is paramount to be well versed with various statistical concepts such as Hypothesis testing
Every day we find ourselves testing new ideas, finding the fastest route to the office, the quickest way to finish our work, or simply finding a better way to do something we love. The critical question, then, is whether our idea is significantly better than what we tried previously.
These ideas that we come up with on such a regular basis – that’s essentially what a hypothesis is. And testing these ideas to figure out which one works and which one is best left behind, is called hypothesis testing. Introduction to Hypothesis Testing Course
                    
                    
                      



AI&ML Blackbelt Plus Program (Sponsored) No instructor available"
